Radiation,Cost
20.6,140.0808
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6.85,421.2648
135,21.37529
344.62,8.373466
537.17,5.371975
682.77,4.226407
774.05,3.728007
783.55,3.682808
722.38,3.994662
595.67,4.8444
415.55,6.944204
203.85,14.15582
24.02,120.1359
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7.33,393.6786
133.42,21.62842
341.38,8.452938
535.05,5.39326
681.52,4.234159
729.2,3.957301
744.25,3.877278
687.23,4.198978
564.67,5.110354
386.85,7.459387
182.3,15.8292
21.62,133.472
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8.05,358.4676
134.38,21.47391
339.2,8.507264
521.62,5.532119
664.9,4.339997
721.35,4.000366
710.88,4.059284
621.27,4.644782
476.52,6.055704
319.95,9.019109
148.58,19.42162
19.6,147.2277
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9.4,306.9855
156.33,18.4588
376.95,7.655296
578.1,4.991634
730.02,3.952856
806.88,3.576323
818.23,3.526715
757.88,3.807547
630.15,4.579328
447.23,6.452304
229.38,12.58028
31.38,91.95869
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
13.48,214.07
188.98,15.26968
416.12,6.934692
614.08,4.699166
759.67,3.798575
833.73,3.461149
844.15,3.418425
781.27,3.693555
651.98,4.426001
467,6.179152
244.77,11.78929
36.42,79.23294
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
15.27,188.976
199.15,14.4899
431.85,6.682098
633.1,4.557991
776.38,3.716819
849.48,3.396977
857.8,3.364029
793.45,3.636857
662.98,4.352565
475.95,6.062956
251.73,11.46333
38.98,74.02934
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
13.92,207.3034
183.73,15.706
405.88,7.109648
599.8,4.811043
742.48,3.886521
832.25,3.467304
838.17,3.442815
772.9,3.733554
640.42,4.505893
453.42,6.364218
232.95,12.38748
34.12,84.57397
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17.17,168.0643
203.33,14.19202
433.38,6.658507
632.67,4.561088
779.12,3.703748
858.42,3.361599
866.52,3.330176
801.92,3.598444
670.88,4.301311
483.58,5.967294
258.6,11.15879
42.67,67.62746
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
19.17,150.5302
208.83,13.81824
438.23,6.584816
636.45,4.533999
781.7,3.691523
856.48,3.369213
863.83,3.340546
799.83,3.607846
667.67,4.321991
480.35,6.007419
255.98,11.27301
42.27,68.26742
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16.27,177.361
186.92,15.43796
407.17,7.087123
601.17,4.80008
743.35,3.881972
807.52,3.573489
813.88,3.545564
749.02,3.852586
617.92,4.669963
433.38,6.658507
219.55,13.14354
33.15,87.04868
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
15.52,185.9319
171.88,16.78883
387.48,7.447259
584.23,4.93926
731.55,3.944589
804.33,3.587662
813.75,3.546131
749.42,3.85053
617.65,4.672005
431.58,6.686278
217.7,13.25523
33.4,86.39712
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18.65,154.7273
197.3,14.62577
424.55,6.796994
624.48,4.620907
771.95,3.738149
